SKU,Inventario,Precio normal
DG25S,0.0,150252.97
DSD250,0.0,758445.53
DSSW360,0.0,183552.57
DVEL180-9,0.0,5200.23
DW10-125Q,0.0,538686.01
EGCP500,1.0,1177890.62
F000611090,0.0,5179.8
G400Q,2.0,256932.61
GLI18V-1900,0.0,103844.09
GOP18V-28,2.0,425091.34
GSA120,0.0,181073.09
GSA12V-LISB,0.0,82582.4
GSB120-LIBT,0.0,131435.17
GSB12V-30,6.0,224599.47
GSB12V-30BS,0.0,156354.05
GSB180-LIBT,5.0,145638.61
GSC18V-16,0.0,335882.23
GSS18VBT,0.0,101663.64
GWS12-125S,0.0,124481.85
GWS2200-180,0.0,171155.3
HBS18LTXBL3000,0.0,544187.47
HSCHL-9,0.0,4550.34
HUSQ236E,0.0,240066.92
HUSQ530IP5,0.0,1053455.95
HUSQAM550,0.0,8056267.79
HUSQBG244F,0.0,3986065.37
GCM12X,0.0,674875.79
GCM18V-305C,0.0,1476547.7
GCY42,0.0,27558.6
GDE18V-16,2.0,123727.78
GDR120-LIBT,0.0,85054.36
GDS18V-1000SB,2.0,362583.07
GDS18V-400BT,0.0,211002.66
GHO12V-20,0.0,278366.25
GP255A,0.0,188508.89
GSA18V-LIBT,0.0,203907.05
GSB180-LI2B,-1.0,244591.8
GSR120-LIBT,22.0,123402.6
GWS2200-230,2.0,171155.3
GWS25-230LVI,0.0,230815.41
GWS28-230DM,0.0,221602.44
H5000A,0.0,58174.88
HG16-500,0.0,130970.79
HSCAB-9,0.0,3250.23
HSCCC-9,0.0,3575.13
HSCCF-9,0.0,3575.13
HSCFL-9,0.0,3250.23
HSCR-9,0.0,3250.23
HTBGA-50A,0.0,208009.71
HUSQ135MARKII,0.0,362371.47
JM0027,0.0,931908.06
JMHSS6PZ-9,0.0,7800.59
K2CDF,1.0,116459.67
KGET2800E,0.0,346540.41
KS85FS,0.0,570101.85
LBAN40-9,0.0,5200.27
LBAN80-9,0.0,5200.27
L-BOXX102S,0.0,53282.93
L-BOXX136,2.0,48536.92
L-BOXX238,7.0,65544.89
L-BOXXM,1.0,11518.21
LC-30150V,0.0,771709.75
HUSQ520IRX,1.0,779455.32
HUSQ545RX,3.0,1196280.35
HUSQ578BTF,0.0,1135282.62
HUSQBG375F,0.0,5665119.23
HUSQBG479F,0.0,4776842.69
HUSQBLI300,0.0,499108.6
JATL82-8,0.0,32501.79
JK-1008B,0.0,255257.83
JMHSS19PZ-9,0.0,20801.16
JMV5-9,0.0,5200.27
KGET2800,0.0,307934.77
KH18LTXBL24,-1.0,600996.47
KHE2645,0.0,269827.35
KS190,0.0,192606.87
LBAN100-9,0.0,5200.27
LBAN150-9,0.0,5200.27
LBAN60-9,0.0,5200.27
L-BOXX102,-1.0,42729.54
LL-30,0.0,86668.66
LLP-250,0.0,65003.24
LQCP125,0.0,135206.37
LQFLUX081,0.0,20801.0
LQMH550,0.0,101404.81
LQROD-20,0.0,20801.05
LQSPI7101,0.0,10400.47
LVEL125120-9,0.0,1950.01
LVEL125180-9,0.0,1950.01
